";relation;label"
"0;ville Paris comptait 2,187 millions habitants 1er janvier 2020;1"
"1;Paris joue rôle plan histoire Europe monde;0"
"2;Paris symbolise culture française;1"
"3;région parisienne accueille institutions internationales sièges sociaux grandes entreprises York Londres;0"
"4;région parisienne une riches régions Europe;1"
"5;densité réseaux ferroviaires autoroutier structures aéroportuaires font point convergence transports nationaux internationaux;0"
"6;politiques publiques cependant décentralisation;0"
"7;macrocéphalie atteinte ville concrétise par réseaux routiers ferroviaires pays centre écarts démographiques économiques disproportionnés capitale province;0"
"8;Paris accueille compétitions internationales — 1975;1"
"9;ville Paris propriétaire domaine entourant sources Seine;0"
"10;La Seine recevait affluent ruisseau Ménilmontant traversait faubourgs Saint;0"
"11;altitude territoires 31 mètres 39 mètres supérieure niveau moyen fleuve 26,72 mètres;0"
"12;col Chapelle hauteurs Belleville butte Montmartre lieu voies communication régions Nord routières Antiquité;0"
"13;géologie Paris alentours représente synthèse ensemble;0"
"14;mer venue ouest dépose calcaires pisolithiques calcaire grains irréguliers forme pois).Cycle thanétien –59 –55 millions années;0"
"15;Cycle aquitanien de –20 millions années;1"
"16;plissement affecté sol Paris époque formation massif alpin déterminé structure actuelle formant bombements orientation;0"
"17;bombements encadrent synclinal fosse Saint Denis passe Pontoise Cormeilles-en-Parisis Argenteuil Villemomble Rosny-sous-Bois;0"
"18;plateau Beauce stampien sommet buttes témoins Montmartre Belleville;0"
"19;superficie excavée représente 850 hectares;1"
"20;Paris a climat type océanique influence océanique dépasse continentale;0"
"21;développement urbanisation provoque augmentation température baisse nombre jours brouillard;0"
"22;record température chaude eu lieu;1"
"23;température atteint 36,5 ° C;1"
"24;agriculture urbaine 2016 place modeste comparée métropoles Détroit Montréal Berlin Bruxelles 44 installations agricoles 1,6 hectare toits 1,3 hectare sol;1"
"25;La Ville donne objectif 33 hectares;0"
"26;développement durable rattaché Ministère Transition écologique publié bilan montrant amélioration qualité air extérieur France;1"
"27;émissions liées activité humaine baissé entre émissions dioxyde soufre provenant industrie;1"
"28;ozone polluants présentent dépassements;0"
"29;2020Le confinement pour limiter l'impact de la pandémie de Covid-19 permet d' faible niveau pollution enregistré Airparif 40 ans;0"
"30;côté transports commun ferroviaires existe réseau dense centaine lignes bus plan initialement tracé essentiel;0"
"31;taux équipement automobile ménages Paris;0"
"32;mairie lancé système location voitures libre-service courte durée Autolib;1"
"33;circulation cycliste représente tiers circulation automobile;1"
"34;organisation actuelle ville doit travaux Haussmann;0"
"35;capitale France prend visage Paris laisse place « Grand Paris;0"
"36;organisation administrative Paris connu sous adaptation évolution démographique;1"
"37;19e 20e comptaient 000 1999 % parc social parisien concentré arrondissements;0"
"38;difficultés logement importantes à ménages capitale confrontés 2016 taux hausse 2015;0"
"39;mise place Casier Sanitaire maisons Paris permis d ’ identifier 17 îlots insalubres Paris;1"
"40;îlots repris par forme évoluer;0"
"41;42 rue Beaubourg reconstruit entre politique menée;0"
"42;nombre 346 000 logements vacants % logements capitale;0"
"43;73 362 foyers fiscaux déclaraient patrimoine moyen 1 961 667 euros;1"
"44;catégories socioprofessionnelles favorisées représentent 2018 86 % transactions logements 69 %;1"
"45;cité prend nom Paris;1"
"46;épisode procure grand prestige Paris comte Eudes aidé défense;0"
"47;Paris poursuit croissance;1"
"48;rayonnement intellectuel accroît enseignement moderne tourné humanisme sciences exactes;1"
"49;ville pourtant ruinée affamée ouvre portes;1"
"50;La Journée des barricades (1648) marque début Fronde provoque importante crise économique;1"
"51;Versailles dépossède Paris;1"
"52;C période salons littéraires;0"
"53;journée 10 août voit foule assiéger Palais Tuileries soutien gouvernement municipal;1"
"54;Parisiens vivent années rationnement;1"
"55;L'Empereur multiplie par points eau alimentés réseau 50 km canaux acheminent eau Ourcq;1"
"56;bataille Paris entraîne capitulation capitale;1"
"57;choléra 1832 fait 32 000 victimes;1"
"58;Napoléon III a idées précises urbanisme logement Paris aujourd' Haussmann;1"
"59;capitale française passe 288      7 802 hectares;0"
"60;ville Paris lève grand emprunt public 1,2 million francs grand succès;1"
"61;ville possède entreprises emploient million ouvriers;1"
"62;expositions universelles laissent large empreinte;1"
"63;Années folles, Paris connaît apogée influence culturelle;1"
"64;crue centennale Seine provoque graves inondations ville connue cause milliards francs dégâts;1"
"65;gouvernement maréchal Pétain installé Vichy Paris cesse d' commandement militaire allemand France Militärbefehlshaber Frankreich;0"
"66;Libération Paris fait 25 août entrée Paris 2e division blindée général Leclerc 4e division infanterie américaine major-général Raymond O. Barton;1"
"67;manifestation soutien gouvernement Général Gaulle réunit million personnes place Étoile;1"
"68;Paris élit maire gauche socialiste Bertrand Delanoë ensuite réélu 2008;1"
"69;Paris janvier collectivité statut exerce compétences commune département;1"
"70;Paris avait maire;1"
"71;préfet police nommé État conserve pouvoirs police;1"
"72;budget primitif 2011 ville département élevait à 6,906 milliards euros consacrés fonctionnement 1,676 investissement;1"
"73;fiscalité représente 55 % recettes ville;1"
"74;stabilité concerne taux imposition;1"
"75;bulle développée mandature M. Delanoë permis hausse extrêmement importante rentrées fiscales assises immobilier;1"
"76;bulle fiscale permis d' effectifs Mairie Paris 49 000 agents 73 000 agents;1"
"77;explosion bulle immobilière temporaire laisse mairie;0"
